h2,pval,jack_se,network,hemi
0.142658431576893,0.001,0.00325239728164821,overall,rh
0.152457322003202,0.001,0.0139287959298495,1,rh
0.12304254262322,0.001,0.00557923942008958,2,rh
0.132917969100459,0.001,0.00482199766478498,3,rh
0.127719932236392,0.001,0.0138994843219104,4,rh
0.143420318148881,0.001,0.00479290978701478,5,rh
0.146705247387831,0.001,0.00520118465011528,6,rh
0.140180240240574,0.001,0.00648247208440109,7,rh
0.143882892432079,0.001,0.017293024708887,8,rh
0.17700555716302,0.001,0.00734753684248552,9,rh
0.118687196281398,0.001,0.0104954655057424,10,rh
0.134698938467053,0.001,0.00673737188244864,11,rh
0.151590236578486,0.001,0.00451620719637749,12,rh
0.154071011374106,0.001,0.0109857480278951,13,rh
0.151392243366079,0.001,0.0050805134642557,14,rh
0.147536349712523,0.001,0.00464157148816717,15,rh
0.128177967354454,0.001,0.00602169355431815,16,rh
0.120734445524363,0.001,0.012592305014512,17,rh
